topic_id,family,primary_fields,secondary_fields,time_field,n_obs,coverage_pct,effect_size,effect_detail,significance,causal_design,assumptions_met,readability,complexity_penalty,proposed_charts
assoc_cat_cat-a000bfde87,correlation,['dt_03' 'dt_04'],[],,285440,1.0,0.16523943826967172,"{""cramers_v"": 0.16523943826967172, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-d057b0b8cc,correlation,['dt_02' 'dt_03'],[],,285440,1.0,0.12143447954798983,"{""cramers_v"": 0.12143447954798983, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-6767f4cf22,correlation,['dt_02' 'dt_04'],[],,285440,1.0,0.10615407703879548,"{""cramers_v"": 0.10615407703879548, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-6e1ea5c58d,correlation,['dt_01' 'dt_03'],[],,285440,1.0,0.051858475507891494,"{""cramers_v"": 0.051858475507891494, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-670865dc2f,correlation,['dt_01' 'dt_04'],[],,285440,1.0,0.04490835762699217,"{""cramers_v"": 0.04490835762699217, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-43b7f5ffd3,correlation,['dt_01' 'dt_02'],[],,285440,1.0,0.03451619239252258,"{""cramers_v"": 0.03451619239252258, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-b55955e1a3,correlation,['event_time' 'dt_02'],[],,285440,1.0,0.0062022271622281504,"{""cramers_v"": 0.0062022271622281504, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-276c153a8e,correlation,['event_time' 'dt_03'],[],,285440,1.0,0.005792296913219606,"{""cramers_v"": 0.005792296913219606, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-78ba68b8be,correlation,['event_time' 'dt_04'],[],,285440,1.0,0.005652883184939388,"{""cramers_v"": 0.005652883184939388, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
assoc_cat_cat-0cdab57d33,correlation,['event_time' 'dt_01'],[],,285440,1.0,0.0055713975357885165,"{""cramers_v"": 0.0055713975357885165, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]"
ranking_count-6867de76c0,ranking,['event_time' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]"
p2w_count-aa6a572b32,part_to_whole,['event_time' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]"
ranking_count-5690f3f39a,ranking,['dt_01' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]"
p2w_count-9c00c9b04c,part_to_whole,['dt_01' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]"
ranking_count-55ba6d59ee,ranking,['dt_02' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]"
p2w_count-f433045447,part_to_whole,['dt_02' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]"
ranking_count-1f26a05171,ranking,['dt_03' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]"
p2w_count-bb3ab68930,part_to_whole,['dt_03' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]"
ranking_count-a033ecad12,ranking,['dt_04' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]"
p2w_count-f9b51ad31f,part_to_whole,['dt_04' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]"
ranking_dow-24e5c16f50,ranking,['day_of_week' '__row_count__'],[],event_time,285440,1.0,0.0,"{""metric"": ""count"", ""derived_category"": ""day_of_week""}",{},,[],1.0,0.04,"[""ordered_bar"", ""ordered_column"", ""lollipop""]"
ranking_hod-6c7a2f5578,ranking,['hour_of_day' '__row_count__'],[],event_time,285440,1.0,0.0,"{""metric"": ""count"", ""derived_category"": ""hour_of_day""}",{},,[],1.0,0.04,"[""ordered_bar"", ""ordered_column"", ""lollipop""]"
