topic_id,family,primary_fields,secondary_fields,time_field,n_obs,coverage_pct,effect_size,effect_detail,significance,causal_design,assumptions_met,readability,complexity_penalty,proposed_charts,effect_norm,suitability,readability_penalty,signal_quality,complexity,score_total
assoc_cat_cat-a000bfde87,correlation,['dt_03' 'dt_04'],[],,285440,1.0,0.16523943826967172,"{""cramers_v"": 0.16523943826967172, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]",0.16523943826967172,1.0,0.0,1.0,0.2,6.713098595674179
assoc_cat_cat-d057b0b8cc,correlation,['dt_02' 'dt_03'],[],,285440,1.0,0.12143447954798983,"{""cramers_v"": 0.12143447954798983, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]",0.12143447954798983,1.0,0.0,1.0,0.2,6.603586198869974
assoc_cat_cat-6767f4cf22,correlation,['dt_02' 'dt_04'],[],,285440,1.0,0.10615407703879548,"{""cramers_v"": 0.10615407703879548, ""cells"": 121}","{""p_value"": null, ""test"": ""chi2""}",,[],1.0,0.2,"[""table""]",0.10615407703879548,1.0,0.0,1.0,0.2,6.565385192596989
ranking_count-6867de76c0,ranking,['event_time' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]",0.0,1.0,0.0,1.0,0.03,6.47
p2w_count-aa6a572b32,part_to_whole,['event_time' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]",0.0,1.0,0.0,1.0,0.03,6.47
ranking_count-5690f3f39a,ranking,['dt_01' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]",0.0,1.0,0.0,1.0,0.03,6.47
ranking_count-a033ecad12,ranking,['dt_04' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]",0.0,1.0,0.0,1.0,0.03,6.47
p2w_count-f433045447,part_to_whole,['dt_02' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]",0.0,1.0,0.0,1.0,0.03,6.47
ranking_count-1f26a05171,ranking,['dt_03' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]",0.0,1.0,0.0,1.0,0.03,6.47
p2w_count-bb3ab68930,part_to_whole,['dt_03' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]",0.0,1.0,0.0,1.0,0.03,6.47
p2w_count-f9b51ad31f,part_to_whole,['dt_04' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""treemap"", ""pie_guarded"", ""donut_guarded""]",0.0,1.0,0.0,1.0,0.03,6.47
ranking_count-55ba6d59ee,ranking,['dt_02' '__row_count__'],[],,285440,1.0,0.0,"{""metric"": ""count""}",{},,[],1.0,0.03,"[""ordered_bar"", ""ordered_column"", ""lollipop"", ""dot_strip_plot""]",0.0,1.0,0.0,1.0,0.03,6.47
